% Model:              oppgave4.mph
% Version:            COMSOL 6.2.0.278
% Date:               Apr 18 2024, 11:52
% Dimension:          1
% Nodes:              669
% Expressions:        1
% Description:        Line graph
% Arc length (mm)         Magnetic flux density, z-component
244.67917066971245        4.51231652654176E-4
248.2095594159964         4.650100170026164E-4
248.94954228246172        4.682086360327696E-4
250.4258382328926         4.745900112445267E-4
252.44036706900692        4.832979294464271E-4
254.63314955894032        4.927763594468286E-4
256.59036478397513        5.012365362274158E-4
257.19737500947406        5.038603732738775E-4
260.3520995854418         5.174968539559011E-4
260.707327282419          5.190323463613081E-4
264.54490989597457        5.356205206742328E-4
264.5871284481682         5.358030128245134E-4
265.4452077364864         5.390346885477293E-4
266.3808137949868         5.433026260475729E-4
270.0974522164356         5.621532792244851E-4
271.94917883183115        5.715451684122615E-4
272.6299486846136         5.749980080304609E-4
273.98999328887123        5.818961041680983E-4
275.5094382501509         5.896026730452842E-4
277.2341266318439         5.983502289909795E-4
279.652165807876          6.1022214086022E-4
279.65216580787603        6.106144346270502E-4
283.39974499316077        6.317761792103585E-4
283.9494822978541         6.349379693586198E-4
285.01956296011394        6.410924916493442E-4
288.6904946822218         6.622056954556142E-4
290.8946299434816         6.748826833459917E-4
290.8946299434816         6.799543276290109E-4
293.83547222788485        6.98481620748532E-4
296.90640051380143        7.178284550905E-4
297.41532362131585        7.210346683710365E-4
298.4481750023224         7.2754162741005E-4
304.0069547047011         7.60638028007309E-4
305.1710202600925         7.668220434165545E-4
306.32763368651354        7.748780400021237E-4
311.28026711393653        8.093739200165507E-4
313.68832998147553        8.261464611228379E-4
316.11092960719816        8.430202530633422E-4
316.1760628562367         8.434739165085994E-4
317.25373502436537        8.509800746669676E-4
320.5381872880543         8.738568073914162E-4
323.36970525824995        8.935787806789463E-4
323.74323999107077        9.013911141870351E-4
323.74323999107077        8.961805095396489E-4
325.804151589542          9.16203637900954E-4
325.804151589542          9.155870358810496E-4
327.1471136883599         9.266729698038829E-4
327.1471136883599         9.23499266455001E-4
332.18401480640193        9.501041090606689E-4
332.184014806402          9.700269419360249E-4
335.8436044358211         9.865861683373376E-4
338.5138066887035         0.0010132051302250988
339.7239507417321         0.0010252689274118081
343.0443964250309         0.0010583700968077592
347.9113874980183         0.0011068886124895104
349.18982826067634        0.0011196332523010508
352.86162286765955        0.0011562369816992507
356.4788194923849         0.001192296429626898
359.9791705602157         0.0012213809549370311
359.9791705602157         0.0012271910566416828
361.6270513771517         0.0012412000099590015
366.9327238130332         0.0013050113079937748
368.3585616647754         0.001322159853292476
371.2910367267465         0.0013574287174035497
376.7018510124722         0.0014225045559838273
377.3090047939951         0.0014298067917275343
381.6530743268089         0.0014820528960606066
382.10741060842474        0.0014875171964343207
382.60290289327725        0.0014934764798700685
384.053900221738          0.0015109276180797875
384.55260156469507        0.001516925496842632
392.9909582108383         0.001618413573496067
393.91476905980795        0.0016295242423365872
394.0138551010902         0.0016307159497003117
396.3060313134358         0.001658283942485736
397.2820974038162         0.0016700230848748665
397.28209740381624        0.001685831389769389
397.8775005451419         0.0016938506858174196
401.1105973272769         0.0017373962408343889
403.20106878734936        0.0017655521378304195
403.6470777713105         0.0017715592913608853
405.3639740601637         0.0017946836228741898
405.36397406016374        0.0018073178588788041
406.32479091273217        0.0018212247231787475
406.65716053862224        0.0018260354415506421
406.8854777997762         0.0018321782105643755
407.36414544477446        0.0018429984663883296
407.44847893016356        0.0018444047921187723
407.6551146554213         0.001847850601762687
408.2140749302354         0.001857171694246174
409.7522889173654         0.0018799190800861086
409.7522889173654         0.0018828225955346378
413.4023130145937         0.0019408586749574664
414.463415313556          0.0019585744879201607
415.50455947641797        0.00197016377045278
417.16267065112015        0.0019934305663726853
421.21080007008635        0.0020535759654557477
421.67062856875583        0.002051089887780963
422.0521516974985         0.0020579898799671383
425.1023802465911         0.002113154433749631
427.20915385275384        0.00215125624285481
428.98237375921644        0.002183325605305482
433.1922619770183         0.002259463049195806
